x,numerical_real,numerical_imag,exact,error_abs
-6.9106808244846967e+00,-1.0709573542801070e-10,-1.3872938615562952e-10,3.2011138344949682e-11,1.9646008478569917e-10
-6.9006870705808874e+00,-9.7512425652002388e-11,-1.4817923068985677e-10,3.4298362805858654e-11,1.9832087222912464e-10
-6.8906933166770772e+00,-8.7222806906051549e-11,-1.5704020368117202e-10,3.6745341371318399e-11,2.0007430459592750e-10
-6.8806995627732670e+00,-7.6246643617295606e-11,-1.6527533691708591e-10,3.9362965325164194e-11,2.0169660054865759e-10
-6.8707058088694568e+00,-6.4604890514041666e-11,-1.7284970366930962e-10,4.2162849446869821e-11,2.0316586906990299e-10
-6.8607120549656466e+00,-5.2320428372537560e-11,-1.7973163761381094e-10,4.5157378746231026e-11,2.0446365065709383e-10
-6.8507183010618364e+00,-3.9416508902991656e-11,-1.8589152195460007e-10,4.8359758126508574e-11,2.0557317672359808e-10
-6.8407245471580262e+00,-2.5917323487378331e-11,-1.9130295991749595e-10,5.1784065153520077e-11,2.0648081816459125e-10
-6.8307307932542161e+00,-1.1847036354129382e-11,-1.9594271466652042e-10,5.5445306118530307e-11,2.0717578716235920e-10
-6.8207370393504059e+00,2.7685341633430591e-12,-1.9979026618137807e-10,5.9359475593745413e-11,2.0765039155466366e-10
-6.8107432854465957e+00,1.7904675864947406e-11,-2.0282837626906904e-10,6.3543619690769802e-11,2.0789964745877666e-10
-6.8007495315427855e+00,3.3535903737499747e-11,-2.0504301758413610e-10,6.8015903244591926e-11,2.0792188298978398e-10
-6.7907557776389753e+00,4.9637003405434038e-11,-2.0642380449593877e-10,7.2795681158547948e-11,2.0771882778855201e-10
-6.7807620237351651e+00,6.6183892530431127e-11,-2.0696327512034807e-10,7.7903574159307805e-11,2.0729483395884017e-10
-6.7707682698313558e+00,8.3153385490377664e-11,-2.0665812196902762e-10,8.3361549225284274e-11,2.0665822680915954e-10
-6.7607745159275456e+00,1.0052316296021552e-10,-2.0550816635880814e-10,8.9193004967001155e-11,2.0582025877039112e-10
-6.7507807620237354e+00,1.1827226643548640e-10,-2.0351663016678333e-10,9.5422862253934202e-11,2.0479529786080344e-10
-6.7407870081199253e+00,1.3638114143274880e-10,-2.0069038623103939e-10,1.0207766039920161e-10,2.0360098216016221e-10
-6.7307932542161151e+00,1.5483226119783542e-10,-1.9703980863494347e-10,1.0918565923124380e-10,2.0225799973793764e-10
-6.7207995003123049e+00,1.7360977926467897e-10,-1.9257853095465976e-10,1.1677694740039118e-10,2.0078959475622547e-10
-6.7108057464084947e+00,1.9270147077727877e-10,-1.8732388547084909e-10,1.2488355728798344e-10,1.9922225643220018e-10
-6.7008119925046845e+00,2.1209709555878287e-10,-1.8129641605670009e-10,1.3353958690655735e-10,1.9758459616237444e-10
-6.6908182386008743e+00,2.3178955649706336e-10,-1.7451976485546293e-10,1.4278132920158092e-10,1.9590715365062690e-10
-6.6808244846970641e+00,2.5177477253923319e-10,-1.6702052459691217e-10,1.5264740918839520e-10,1.9422175419225520e-10
-6.6708307307932539e+00,2.7205244514098274e-10,-1.5882861197840212e-10,1.6317892938242281e-10,1.9256160161521097e-10
-6.6608369768894438e+00,2.9262597598159880e-10,-1.4997633264728825e-10,1.7441962400643895e-10,1.9095979158347821e-10
-6.6508432229856336e+00,3.1350387740671466e-10,-1.4049907352184380e-10,1.8641602248580664e-10,1.8945002646844428e-10
-6.6408494690818243e+00,3.3469895069077023e-10,-1.3043463235073044e-10,1.9921762277113204e-10,1.8806483863640951e-10
-6.6308557151780141e+00,3.5622896063420428e-10,-1.1982323256239427e-10,2.1287707505789850e-10,1.8683514166233259e-10
-6.6208619612742039e+00,3.7811663960416146e-10,-1.0870710867495804e-10,2.2745037650428664e-10,1.8578901558743952e-10
-6.6108682073703937e+00,4.0039064845761587e-10,-9.7130706238486548e-11,2.4299707758179792e-10,1.8495164299737457e-10
-6.6008744534665835e+00,4.2308550961625674e-10,-8.5140220360697199e-11,2.5958050072840817e-10,1.8434409416762860e-10
-6.5908806995627733e+00,4.4624285380669023e-10,-7.2783472909643819e-11,2.7726797201097251e-10,1.8398354439097436e-10
-6.5808869456589631e+00,4.6991091865781379e-10,-6.0110155922646178e-11,2.9613106654254825e-10,1.8388221188099841e-10
-6.5708931917551530e+00,4.9414498071568304e-10,-4.7171129166929238e-11,3.1624586844127691e-10,1.8404675920782980e-10
-6.5608994378513428e+00,5.1900767789967743e-10,-3.4018139246216197e-11,3.3769324616062242e-10,1.8447806632397087e-10
-6.5509056839475326e+00,5.4456965618399637e-10,-2.0704077218695062e-11,3.6055914406610353e-10,1.8517161603055388e-10
-6.5409119300437224e+00,5.7090960281437380e-10,-7.2826328106720719e-12,3.8493489118146419e-10,1.8611724828075168e-10
-6.5309181761399122e+00,5.9811518008413195e-10,6.1921043472445595e-12,4.1091752807741059e-10,1.8730003489876001e-10
-6.5209244222361020e+00,6.2628336128873655e-10,1.9665606634499389e-11,4.3861015292890339e-10,1.8870073985116280e-10
-6.5109306683322927e+00,6.5552026379197630e-10,3.3082879640311741e-11,4.6812228782254930e-10,1.9029576538308281e-10
-6.5009369144284825e+00,6.8594194051181322e-10,4.6389501780329488e-11,4.9957026645407382e-10,1.9205829002287678e-10
-6.4909431605246724e+00,7.1767432237780364e-10,5.9531332575746470e-11,5.3307764441725957e-10,1.9395853441473759e-10
-6.4809494066208622e+00,7.5085391941621494e-10,7.2454367678252831e-11,5.6877563335035119e-10,1.9596463367745202e-10
-6.4709556527170520e+00,7.8562872767959360e-10,8.5105814843978587e-11,6.0680356027378701e-10,1.9804403605757058e-10
-6.4609618988132418e+00,8.2215831504643267e-10,9.7433436123940025e-11,6.4730935352444000e-10,2.0016351770549290e-10
-6.4509681449094316e+00,8.6061433920316605e-10,1.0938627696040334e-10,6.9045005676653753e-10,2.0228999136000462e-10
-6.4409743910056214e+00,9.0118025378001125e-10,1.2091480469615516e-10,7.3639237263817282e-10,2.0439040037615762e-10
-6.4309806371018112e+00,9.4405273330334125e-10,1.3197144284175580e-10,7.8531323767506652e-10,2.0643325603703941e-10
-6.4209868831980010e+00,9.8944198518293606e-10,1.4251003997088457e-10,8.3740043024012482e-10,2.0838844958857726e-10
-6.4109931292941909e+00,1.0375719601059939e-09,1.5248699742699146e-10,8.9285321327864958e-10,2.1022797165833163e-10
-6.4009993753903807e+00,1.0886821352238149e-09,1.6186053632258544e-10,9.5188301381486371e-10,2.1192647979168619e-10
-6.3910056214865705e+00,1.1430266634636922e-09,1.7059149566156041e-10,1.0147141412060218e-09,2.1346091389332459e-10
-6.3810118675827612e+00,1.2008759183822460e-09,1.7864314488084925e-10,1.0815845462760983e-09,2.1481109066313935e-10
-6.3710181136789510e+00,1.2625165903008839e-09,1.8598194400144100e-10,1.1527466235618466e-09,2.1596001734683319e-10
-6.3610243597751408e+00,1.3282527340054856e-09,1.9257694101471692e-10,1.2284680590203942e-09,2.1689365959489476e-10
