x,numerical_real,numerical_imag,exact,error_abs
-6.6508432229856336e+00,3.1352293153467444e-10,-1.4051167845264775e-10,1.8641602248580664e-10,1.8947215655482845e-10
-6.6408494690818243e+00,3.3471219074353964e-10,-1.3044724924960755e-10,1.9921762277113204e-10,1.8808312733155683e-10
-6.6308557151780141e+00,3.5623548693957770e-10,-1.1983467540838541e-10,2.1287707505789850e-10,1.8684748777404065e-10
-6.6208619612742039e+00,3.7811582264462502e-10,-1.0871638365191987e-10,2.2745037650428664e-10,1.8579378013006420e-10
-6.6108682073703937e+00,4.0038261088634958e-10,-9.7137000133986315e-11,2.4299707758179792e-10,1.8494810863749917e-10
-6.6008744534665835e+00,4.2307097008910513e-10,-8.5142996215759672e-11,2.5958050072840817e-10,1.8433248052467005e-10
-6.5908806995627733e+00,4.4622284107278927e-10,-7.2782665910364415e-11,2.7726797201097251e-10,1.8396484511100312e-10
-6.5808869456589631e+00,4.6988644065502962e-10,-6.0105596551808662e-11,2.9613106654254825e-10,1.8385758828456647e-10
-6.5708931917551530e+00,4.9411734015931890e-10,-4.7162567358712596e-11,3.1624586844127691e-10,1.8401784753389363e-10
-6.5608994378513428e+00,5.1897880004404523e-10,-3.4005854929880002e-11,3.3769324616062242e-10,1.8444741856781688e-10
-6.5509056839475326e+00,5.4454167103604822e-10,-2.0688700393716278e-11,3.6055914406610353e-10,1.8514208747399221e-10
-6.5409119300437224e+00,5.7088481428828898e-10,-7.2648895297954506e-12,3.8493489118146419e-10,1.8609178521179860e-10
-6.5309181761399122e+00,5.9809579097257797e-10,6.2111149438199359e-12,4.1091752807741059e-10,1.8728128590251013e-10
-6.5209244222361020e+00,6.2627075236591841e-10,1.9684578752091803e-11,4.3861015292890339e-10,1.8869017786230184e-10
-6.5109306683322927e+00,6.5551524431476042e-10,3.3101079052166401e-11,4.6812228782254930e-10,1.9029398723372606e-10
-6.5009369144284825e+00,6.8594506915610130e-10,4.6406129065199041e-11,4.9957026645407382e-10,1.9206534277957484e-10
-6.4909431605246724e+00,7.1768571078685654e-10,5.9545395613076596e-11,5.3307764441725957e-10,1.9397368972992013e-10
-6.4809494066208622e+00,7.5087331335586210e-10,7.2465235279088068e-11,5.6877563335035119e-10,1.9598667145355327e-10
-6.4709556527170520e+00,7.8565550849300649e-10,8.5112790425303687e-11,6.0680356027378701e-10,1.9807121566697173e-10
-6.4609618988132418e+00,8.2219082201311831e-10,9.7436134286865622e-11,6.4730935352444000e-10,2.0019322737176874e-10
-6.4509681449094316e+00,8.6065045327346973e-10,1.0938499761708620e-10,6.9045005676653753e-10,2.0231967940565468e-10
-6.4409743910056214e+00,9.0121785955512158e-10,1.2091020941285371e-10,7.3639237263817282e-10,2.0441800282183902e-10
-6.4309806371018112e+00,9.4408982732259778e-10,1.3196406338656730e-10,7.8531323767506652e-10,2.0645706441193648e-10
-6.4209868831980010e+00,9.8947673286015367e-10,1.4250088462880954e-10,8.3740043024012482e-10,2.0840754290229486e-10
-6.4109931292941909e+00,1.0376028007992398e-09,1.5247676999157603e-10,8.9285321327864958e-10,2.1024178574785027e-10
-6.4009993753903807e+00,1.0887074349251390e-09,1.6185000307864841e-10,9.5188301381486371e-10,2.1193476757889548e-10
-6.3910056214865705e+00,1.1430448552245467e-09,1.7058167797389958e-10,1.0147141412060218e-09,2.1346400404024936e-10
-6.3810118675827612e+00,1.2008858631373701e-09,1.7863537401169630e-10,1.0815845462760983e-09,2.1481015118735005e-10
-6.3710181136789510e+00,1.2625177186266733e-09,1.8597702742795092e-10,1.1527466235618466e-09,2.1595635680078516e-10
-6.3610243597751408e+00,1.3282451666488573e-09,1.9257573987472437e-10,1.2284680590203942e-09,2.1688911174837571e-10
-6.3510306058713306e+00,1.3983910303101543e-09,1.9840321330788414e-10,1.3090327256697163e-09,2.1759766004970528e-10
-6.3410368519675204e+00,1.4732970117415556e-09,2.0343457049860853e-10,1.3947416297614261e-09,2.1807469479973454e-10
-6.3310430980637102e+00,1.5533245559192908e-09,2.0764817591757779e-10,1.4859139102196311e-09,2.1831619297601905e-10
-6.3210493441599001e+00,1.6388560695188110e-09,2.1102583983644230e-10,1.5828878942207666e-09,2.1832164740324864e-10
-6.3110555902560899e+00,1.7302954673824124e-09,2.1355249900578256e-10,1.6860222119369977e-09,2.1809353722508537e-10
-6.3010618363522797e+00,1.8280692116567705e-09,2.1521650885504500e-10,1.7956969736209251e-09,2.1763755989994718e-10
-6.2910680824484695e+00,1.9326272490753458e-09,2.1600975414645955e-10,1.9123150123718442e-09,2.1696267155046043e-10
-6.2810743285446593e+00,2.0444440847878877e-09,2.1592746978942127e-10,2.0363031960941953e-09,2.1608087902076046e-10
-6.2710805746408491e+00,2.1640203552982381e-09,2.1496873003305322e-10,2.1681138123375302e-09,2.1500770051920522e-10
