x,y,numerical_real,numerical_imag,density
-6.1983471074380168e+00,-8.1818181818181817e+00,-3.3720066762359966e-05,1.4066347007221533e-04,2.0923254715215033e-08
-6.0330578512396693e+00,-8.1818181818181817e+00,-2.9299021298429327e-05,1.4457076496466673e-04,2.1759138731514724e-08
-5.8677685950413228e+00,-8.1818181818181817e+00,-2.5287785902022019e-05,1.4856302749943634e-04,2.2710445255624782e-08
-5.7024793388429753e+00,-8.1818181818181817e+00,-2.1686229517568466e-05,1.5247157493492074e-04,2.3717873713823808e-08
-5.5371900826446279e+00,-8.1818181818181817e+00,-1.6604832007786149e-05,1.5679209324269143e-04,2.4859480949431642e-08
-5.3719008264462813e+00,-8.1818181818181817e+00,-1.1957169683530960e-05,1.6098806348495548e-04,2.6060130491476804e-08
-5.2066115702479339e+00,-8.1818181818181817e+00,-7.9533610584072085e-06,1.6542593998493250e-04,2.7428997572023878e-08
-5.0413223140495864e+00,-8.1818181818181817e+00,-4.0908152188568871e-06,1.7043426886393585e-04,2.9064574772339202e-08
-4.8760330578512399e+00,-8.1818181818181817e+00,2.5119754453713304e-06,1.7572919803604648e-04,3.0887061063030190e-08
-4.7107438016528924e+00,-8.1818181818181817e+00,9.5555979146966959e-06,1.8104032793361019e-04,3.2866909789816474e-08
-4.5454545454545459e+00,-8.1818181818181817e+00,1.6601225967975464e-05,1.8609679649717574e-04,3.4907618370151024e-08
-4.3801652892561984e+00,-8.1818181818181817e+00,2.3643532281712810e-05,1.9162539225772544e-04,3.7279307576683537e-08
-4.2148760330578510e+00,-8.1818181818181817e+00,3.3194746399314413e-05,1.9689530159183407e-04,3.9869650977454097e-08
-4.0495867768595044e+00,-8.1818181818181817e+00,4.2642029583441859e-05,2.0251492398873990e-04,4.2830637125160230e-08
-3.8842975206611570e+00,-8.1818181818181817e+00,5.1665555273491759e-05,2.0822385726270261e-04,4.6026504335076586e-08
-3.7190082644628100e+00,-8.1818181818181817e+00,6.1537066939547320e-05,2.1508564713369153e-04,5.0048646210441193e-08
-3.5537190082644630e+00,-8.1818181818181817e+00,7.6067881750005125e-05,2.2144674959189098e-04,5.4824985538746434e-08
-3.3884297520661155e+00,-8.1818181818181817e+00,9.3387920589322010e-05,2.2746682390027939e-04,6.0462459687278232e-08
-3.2231404958677685e+00,-8.1818181818181817e+00,1.1244598936975485e-04,2.3234999770289260e-04,6.6630621957877212e-08
-3.0578512396694215e+00,-8.1818181818181817e+00,1.3458782113466572e-04,2.3690521421850674e-04,7.4237962121693330e-08
-2.8925619834710745e+00,-8.1818181818181817e+00,1.6455333878331773e-04,2.3860521811951293e-04,8.4010251418597680e-08
-2.7272727272727271e+00,-8.1818181818181817e+00,2.0078336912689258e-04,2.3637939818051847e-04,9.6189181202130103e-08
