x,y,numerical_real,numerical_imag,exact,error_abs
-9.9173553719008267e-01,-8.0000000000000000e+00,-4.7594478033685380e-10,1.6463624031609967e-10,4.3694701915372930e-15,5.0361958344316779e-10
-8.5950413223140498e-01,-8.0000000000000000e+00,-5.3791352704952116e-10,1.8607210380702022e-10,4.9383821389605353e-15,5.6919162262591552e-10
-7.2727272727272729e-01,-8.0000000000000000e+00,-5.9741294945727720e-10,2.0665384751045994e-10,5.4846245555028282e-15,6.3215077162941558e-10
-5.9504132231404960e-01,-8.0000000000000000e+00,-6.5199337681177998e-10,2.2553389762182195e-10,5.9857064233794839e-15,6.8990485409267415e-10
-4.6280991735537191e-01,-8.0000000000000000e+00,-6.9922659840440812e-10,2.4187255314533163e-10,6.4193376473499034e-15,7.3988454847070769e-10
-3.3057851239669422e-01,-8.0000000000000000e+00,-7.3688397474466637e-10,2.5489879869068884e-10,6.7650548909863874e-15,7.7973159483010261e-10
-1.9834710743801653e-01,-8.0000000000000000e+00,-7.6310887416301173e-10,2.6397041312127193e-10,7.0058160227270723e-15,8.0748140862783409e-10
-6.6115702479338845e-02,-8.0000000000000000e+00,-7.7656936797116586e-10,2.6862651242440485e-10,7.1293909422185351e-15,8.2172456421388497e-10
6.6115702479338845e-02,-8.0000000000000000e+00,-7.7656933314042609e-10,2.6862657283791891e-10,7.1293909422185351e-15,8.2172455104638279e-10
1.9834710743801653e-01,-8.0000000000000000e+00,-7.6310887864318871e-10,2.6397039498283711e-10,7.0058160227270723e-15,8.0748140693229561e-10
3.3057851239669422e-01,-8.0000000000000000e+00,-7.3688396910798926e-10,2.5489879464394716e-10,6.7650548909863874e-15,7.7973158818021848e-10
4.6280991735537191e-01,-8.0000000000000000e+00,-6.9922659406803680e-10,2.4187251159331729e-10,6.4193376473499034e-15,7.3988453078899625e-10
5.9504132231404960e-01,-8.0000000000000000e+00,-6.5199338526679576e-10,2.2553390369193452e-10,5.9857064233794839e-15,6.8990486406750040e-10
7.2727272727272729e-01,-8.0000000000000000e+00,-5.9741301167643534e-10,2.0665380248894490e-10,5.4846245555028282e-15,6.3215081571226087e-10
8.5950413223140498e-01,-8.0000000000000000e+00,-5.3791355508708348e-10,1.8607201716158801e-10,4.9383821389605353e-15,5.6919162079811065e-10
9.9173553719008267e-01,-8.0000000000000000e+00,-4.7594482528444777e-10,1.6463616581089254e-10,4.3694701915372930e-15,5.0361960156501191e-10
1.1239669421487604e+00,-8.0000000000000000e+00,-4.1381569465346910e-10,1.4314480417920673e-10,3.7990863684312324e-15,4.3787784639394451e-10
1.2561983471074381e+00,-8.0000000000000000e+00,-3.5356039159955317e-10,1.2230164112000045e-10,3.2459053456046149e-15,3.7411888108773772e-10
1.3884297520661157e+00,-8.0000000000000000e+00,-2.9684285765734799e-10,1.0268226085087026e-10,2.7252028447217385e-15,3.1410340137772104e-10
1.5206611570247934e+00,-8.0000000000000000e+00,-2.4490397903416443e-10,8.4715782871900776e-11,2.2483717211476506e-15,2.5914440779183794e-10
1.6528925619834711e+00,-8.0000000000000000e+00,-1.9855074353956766e-10,6.8681520281097208e-11,1.8228196149797322e-15,2.1009586582305801e-10
1.7851239669421488e+00,-8.0000000000000000e+00,-1.5818063167304142e-10,5.4716958053811441e-11,1.4521971178888145e-15,1.6737836525718811e-10
1.9173553719008265e+00,-8.0000000000000000e+00,-1.2383444885421441e-10,4.2836114351294504e-11,1.1368776950986901e-15,1.3103505250993829e-10
2.0495867768595040e+00,-8.0000000000000000e+00,-9.5265579714983552e-11,3.2953746524662294e-11,8.7459747595232996e-16,1.0080499356321405e-10
2.1818181818181817e+00,-8.0000000000000000e+00,-7.2017289608830256e-11,2.4911795955118751e-11,6.6116368509314811e-16,7.6204873933245996e-11
2.3140495867768593e+00,-8.0000000000000000e+00,-5.3498762929937808e-11,1.8505970532639758e-11,4.9115216392137708e-16,5.6609549836544443e-11
2.4462809917355370e+00,-8.0000000000000000e+00,-3.9053266923726046e-11,1.3509057258548342e-11,3.5853324369220207e-16,4.1324088487805908e-11
2.5785123966942147e+00,-8.0000000000000000e+00,-2.8014084479110188e-11,9.6904843734905992e-12,2.5718704995926907e-16,2.9643023232815206e-11
2.7107438016528924e+00,-8.0000000000000000e+00,-1.9747070002278603e-11,6.8308003528064054e-12,1.8129050631227011e-16,2.0895304905176562e-11
2.8429752066115701e+00,-8.0000000000000000e+00,-1.3678405330140345e-11,4.7315473710890239e-12,1.2557619656315715e-16,1.4473760682022949e-11
2.9752066115702478e+00,-8.0000000000000000e+00,-9.3105002130879773e-12,3.2206233642408900e-12,8.5476333820182162e-17,9.8518739706900582e-12
3.1074380165289255e+00,-8.0000000000000000e+00,-6.2275686549354882e-12,2.1541971785334367e-12,5.7172969052838545e-17,6.5896804881864445e-12
3.2396694214876032e+00,-8.0000000000000000e+00,-4.0932570105647138e-12,1.4159394858311858e-12,3.7578713159641707e-17,4.3312752420213839e-12
3.3719008264462809e+00,-8.0000000000000000e+00,-2.6437664309535449e-12,9.1453169771984505e-13,2.4271653317426877e-17,2.7974984370549397e-12
3.5041322314049586e+00,-8.0000000000000000e+00,-1.6779911981961126e-12,5.8044816717719156e-13,1.5405050086880812e-17,1.7755636387686051e-12
3.6363636363636362e+00,-8.0000000000000000e+00,-1.0465571128221647e-12,3.6202874352732237e-13,9.6080038264497546e-18,1.1074144266174428e-12
3.7685950413223139e+00,-8.0000000000000000e+00,-6.4140951877506232e-13,2.2187763501626307e-13,5.8885656096149602e-18,6.7870716048558834e-13
3.9008264462809916e+00,-8.0000000000000000e+00,-3.8628637938094329e-13,1.3363599137187900e-13,3.5464363313405575e-18,4.0875235164811031e-13
4.0330578512396693e+00,-8.0000000000000000e+00,-2.2861380302120039e-13,7.9073038550572714e-14,2.0988486138390510e-18,2.4190447704283790e-13
4.1652892561983474e+00,-8.0000000000000000e+00,-1.3295478776652441e-13,4.5997173805412965e-14,1.2206084172123816e-18,1.4068773991035224e-13
4.2975206611570247e+00,-8.0000000000000000e+00,-7.5974727760988826e-14,2.6286545835177603e-14,6.9755411395303687e-19,8.0394326564476264e-14
4.4297520661157028e+00,-8.0000000000000000e+00,-4.2674341524436147e-14,1.4766770610468226e-14,3.9172902042421011e-19,4.5157395546198855e-14
4.5619834710743801e+00,-8.0000000000000000e+00,-2.3542207272404406e-14,8.1530419707110462e-15,2.1617222215306593e-19,2.4914208697493847e-14
4.6942148760330582e+00,-8.0000000000000000e+00,-1.2756076310441079e-14,4.4140142389675224e-15,1.1722502271698533e-19,1.3498296011571845e-14
4.8264462809917354e+00,-8.0000000000000000e+00,-6.8028840412931417e-15,2.3554925996337097e-15,6.2466484087146968e-20,7.1991962450406616e-15
4.9586776859504136e+00,-8.0000000000000000e+00,-3.5632037960193259e-15,1.2380646947255965e-15,3.2709966368533787e-20,3.7721954596647200e-15
5.0909090909090908e+00,-8.0000000000000000e+00,-1.8344884603720700e-15,6.3968348239854286e-16,1.6831368600509398e-20,1.9428341728202256e-15
5.2231404958677690e+00,-8.0000000000000000e+00,-9.1895700882387346e-16,3.3389930368847673e-16,8.5106957003249227e-21,9.7774555538214037e-16
5.3553719008264462e+00,-8.0000000000000000e+00,-4.7068384126446326e-16,1.7085019902940807e-16,4.2287985072407912e-21,5.0073650736489363e-16
