x,y,numerical_real,numerical_imag,density
-8.3305785123966949e+00,-1.4413223140495868e+01,1.2114839915218597e-07,3.2365589133821072e-07,1.1943007061506904e-13
-8.0661157024793386e+00,-1.4413223140495868e+01,9.2792769301221498e-08,3.7562521944918952e-07,1.4970480352084150e-13
-7.8016528925619824e+00,-1.4413223140495868e+01,1.2758657400615955e-07,2.9282907699219798e-07,1.0202720219873184e-13
-7.5371900826446279e+00,-1.4413223140495868e+01,1.4101696163416342e-07,3.4712482248421154e-07,1.4038142585322650e-13
-7.2727272727272734e+00,-1.4413223140495868e+01,1.0280957284979310e-07,3.3083272346175248e-07,1.2002009918267731e-13
-7.0082644628099171e+00,-1.4413223140495868e+01,1.3157985143495471e-07,4.4182536871568287e-07,2.1252291374439388e-13
-6.7438016528925608e+00,-1.4413223140495868e+01,9.2642879047613471e-08,3.6168413334390936e-07,1.3939811535096556e-13
-6.4793388429752063e+00,-1.4413223140495868e+01,1.5807974846906361e-07,4.9579951784805323e-07,2.7080636877440446e-13
-6.2148760330578519e+00,-1.4413223140495868e+01,5.0775467193741578e-08,4.9491590108388474e-07,2.4751989721441631e-13
-5.9504132231404956e+00,-1.4413223140495868e+01,1.4238632325071622e-07,6.5320792047244394e-07,4.4695445241679206e-13
-5.6859504132231393e+00,-1.4413223140495868e+01,4.3004340043757188e-08,5.4968348417327226e-07,3.0400130603546716e-13
-5.4214876033057848e+00,-1.4413223140495868e+01,1.9872380816925078e-07,6.9227991473056688e-07,5.1874263227265007e-13
-5.1570247933884303e+00,-1.4413223140495868e+01,5.9593596550485350e-08,6.8987922171314050e-07,4.7948473730135044e-13
-4.8925619834710741e+00,-1.4413223140495868e+01,2.4365967234721879e-07,8.7145362150096085e-07,8.1880145035549393e-13
-4.6280991735537178e+00,-1.4413223140495868e+01,1.1995391462804449e-07,7.4020983223844846e-07,5.6229953737706419e-13
-4.3636363636363633e+00,-1.4413223140495868e+01,3.7866455890199516e-07,8.7488597290505504e-07,9.0881231375446722e-13
-4.0991735537190088e+00,-1.4413223140495868e+01,2.5133475161175524e-07,9.4723383829130950e-07,9.6042110177182944e-13
-3.8347107438016526e+00,-1.4413223140495868e+01,5.2194930969341269e-07,1.4992259123748332e-06,2.5201094182255809e-12
-3.5702479338842963e+00,-1.4413223140495868e+01,4.5704240149503580e-07,1.5141722948069254e-06,2.5016054951252204e-12
-3.3057851239669418e+00,-1.4413223140495868e+01,8.6890419548448106e-07,1.8192725090284713e-06,4.0647469630372828e-12
-3.0413223140495873e+00,-1.4413223140495868e+01,9.0587801180986402e-07,2.0840170288091899e-06,5.1637419486472752e-12
-2.7768595041322310e+00,-1.4413223140495868e+01,1.4891560419866648e-06,3.1981777387576486e-06,1.2445926566070377e-11
-2.5123966942148748e+00,-1.4413223140495868e+01,1.7587078581969510e-06,3.6360965538396611e-06,1.6314251479328364e-11
-2.2479338842975203e+00,-1.4413223140495868e+01,2.6765931500747624e-06,4.6555296817005608e-06,2.8838107508222063e-11
-1.9834710743801658e+00,-1.4413223140495868e+01,3.1990060631928621e-06,3.0607095718176471e-06,1.9601582875360860e-11
-1.7190082644628095e+00,-1.4413223140495868e+01,4.1614360018821790e-06,4.2733361313087827e-07,1.7500163614672625e-11
-1.4545454545454533e+00,-1.4413223140495868e+01,4.6557773131941930e-06,-6.6401097218668960e-06,6.5767319508485015e-11
-1.1900826446280988e+00,-1.4413223140495868e+01,4.3268295773709029e-06,-1.8175044027155160e-05,3.4905367958064011e-10
