x,y,numerical_real,numerical_imag,exact,error_abs
-4.2975206611570247e+00,-8.0000000000000000e+00,-8.2796999106572374e-12,-1.4872138447816698e-12,6.9755411395303696e-19,8.4122082226800419e-12
-4.1652892561983474e+00,-8.0000000000000000e+00,-1.4488148515363596e-11,-2.6023173422722641e-12,1.2206084172123818e-18,1.4720004698431211e-11
-4.0330578512396693e+00,-8.0000000000000000e+00,-2.4912547069100634e-11,-4.4746411291826919e-12,2.0988486138390514e-18,2.5311213311109013e-11
-3.9008264462809912e+00,-8.0000000000000000e+00,-4.2094889650126569e-11,-7.5608171999219487e-12,3.5464363313405583e-18,4.2768516340418834e-11
-3.7685950413223139e+00,-8.0000000000000000e+00,-6.9895156883711384e-11,-1.2554096534719758e-11,5.8885656096149610e-18,7.1013654452972335e-11
-3.6363636363636367e+00,-8.0000000000000000e+00,-1.1404357888799617e-10,-2.0483760827761034e-11,9.6080038264497561e-18,1.1586856577473418e-10
-3.5041322314049586e+00,-8.0000000000000000e+00,-1.8285246632238181e-10,-3.2842774152603144e-11,1.5405050086880815e-17,1.8577857219797907e-10
-3.3719008264462804e+00,-8.0000000000000000e+00,-2.8809588182154194e-10,-5.1745917086302058e-11,2.4271653317426880e-17,2.9270615135791327e-10
-3.2396694214876032e+00,-8.0000000000000000e+00,-4.4604592151860325e-10,-8.0115833037769554e-11,3.7578713159641714e-17,4.5318378648224018e-10
-3.1074380165289259e+00,-8.0000000000000000e+00,-6.7862273203681546e-10,-1.2188970773567179e-10,5.7172969052838557e-17,6.8948240796031567e-10
-2.9752066115702478e+00,-8.0000000000000000e+00,-1.0145736055941754e-09,-1.8223086321455759e-10,8.5476333820182174e-17,1.0308093238423680e-09
-2.8429752066115697e+00,-8.0000000000000000e+00,-1.4905446883834872e-09,-2.6772160327484452e-10,1.2557619656315718e-16,1.5143971405421238e-09
-2.7107438016528924e+00,-8.0000000000000000e+00,-2.1518536672166040e-09,-3.8650152726437149e-10,1.8129050631227013e-16,2.1862887311406409e-09
-2.5785123966942152e+00,-8.0000000000000000e+00,-3.0527185727107393e-09,-5.4830887266461218e-10,2.5718704995926730e-16,3.1015697435742542e-09
-2.4462809917355370e+00,-8.0000000000000000e+00,-4.2556617027634730e-09,-7.6437353700140676e-10,3.5853324369220212e-16,4.3237630004462847e-09
-2.3140495867768589e+00,-8.0000000000000000e+00,-5.8298009529472736e-09,-1.0471099319738256e-09,4.9115216392137718e-16,5.9230924429103855e-09
-2.1818181818181817e+00,-8.0000000000000000e+00,-7.8477770533261373e-09,-1.4095652456659041e-09,6.6116368509314821e-16,7.9733612258464930e-09
-2.0495867768595044e+00,-8.0000000000000000e+00,-1.0381160025922034e-08,-1.8645944969302677e-09,8.7459747595233006e-16,1.0547284687560949e-08
-1.9173553719008263e+00,-8.0000000000000000e+00,-1.3494332707197803e-08,-2.4237617152854983e-09,1.1368776950986903e-15,1.3710275954474626e-08
-1.7851239669421481e+00,-8.0000000000000000e+00,-1.7237061761884067e-08,-3.0960057944472634e-09,1.4521971178888147e-15,1.7512898107551525e-08
-1.6528925619834709e+00,-8.0000000000000000e+00,-2.1636218587910470e-08,-3.8861529237156321e-09,1.8228196149797326e-15,2.1982452506674423e-08
-1.5206611570247937e+00,-8.0000000000000000e+00,-2.6687370240390142e-08,-4.7934070337589433e-09,2.2483717211476510e-15,2.7114435294603006e-08
-1.3884297520661155e+00,-8.0000000000000000e+00,-3.2347185567339612e-08,-5.8099852698557301e-09,2.7252028447217388e-15,3.2864821911416712e-08
-1.2561983471074374e+00,-8.0000000000000000e+00,-3.8527738453527872e-08,-6.9200949021383121e-09,3.2459053456046153e-15,3.9144279197768425e-08
-1.1239669421487601e+00,-8.0000000000000000e+00,-4.5093799874080965e-08,-8.0994469672739958e-09,3.7990863684312332e-15,4.5815414118938656e-08
-9.9173553719008289e-01,-8.0000000000000000e+00,-5.1864052428089463e-08,-9.3154744989910697e-09,4.3694701915372938e-15,5.2694007748906775e-08
-8.5950413223140476e-01,-8.0000000000000000e+00,-5.8616834263965769e-08,-1.0528364047970824e-08,4.9383821389605361e-15,5.9554851083690192e-08
-7.2727272727272663e-01,-8.0000000000000000e+00,-6.5100536925302874e-08,-1.1692923428350432e-08,5.4846245555028290e-15,6.6142309306283124e-08
-5.9504132231404938e-01,-8.0000000000000000e+00,-7.1048199886393426e-08,-1.2761202951422916e-08,5.9857064233794847e-15,7.2185149846846539e-08
-4.6280991735537214e-01,-8.0000000000000000e+00,-7.6195247710598556e-08,-1.3685681350278175e-08,6.4193376473499042e-15,7.7414563396992112e-08
-3.3057851239669400e-01,-8.0000000000000000e+00,-8.0298788104841114e-08,-1.4422731947869748e-08,6.7650548909863882e-15,8.1583770778248178e-08
-1.9834710743801587e-01,-8.0000000000000000e+00,-8.3156536864074674e-08,-1.4936021741078452e-08,7.0058160227270731e-15,8.4487250717697185e-08
-6.6115702479338623e-02,-8.0000000000000000e+00,-8.4623327085409467e-08,-1.5199476809652191e-08,7.1293909422185367e-15,8.5977513274791594e-08
6.6115702479338623e-02,-8.0000000000000000e+00,-8.4623326916786555e-08,-1.5199476798779219e-08,7.1293909422185367e-15,8.5977513106902385e-08
1.9834710743801764e-01,-8.0000000000000000e+00,-8.3156536861682666e-08,-1.4936021800316111e-08,7.0058160227270731e-15,8.4487250725815135e-08
3.3057851239669489e-01,-8.0000000000000000e+00,-8.0298788102362392e-08,-1.4422732150156350e-08,6.7650548909863882e-15,8.1583770811569594e-08
4.6280991735537214e-01,-8.0000000000000000e+00,-7.6195247743740890e-08,-1.3685681646662111e-08,6.4193376473499042e-15,7.7414563482008478e-08
5.9504132231404938e-01,-8.0000000000000000e+00,-7.1048199868670651e-08,-1.2761203314840750e-08,5.9857064233794847e-15,7.2185149893649477e-08
